,Game,winner,winner.pred,winner.conf,WResult,Date
143,kentucky-georgia,kentucky,georgia,0.572318,0,1/7/2020
144,missourist-illinoisst,missourist,illinoisst,0.674055,0,1/7/2020
145,tcu-kansasst,tcu,tcu,0.62683,1,1/7/2020
146,toledo-kentst,kentst,kentst,0.85056,1,1/7/2020
147,miamifl-louisville,louisville,louisville,0.71787,1,1/7/2020
148,providence-marquette,providence,marquette,0.915587,0,1/7/2020
149,ohiost-maryland,maryland,maryland,0.530875,1,1/7/2020
150,tennessee-missouri,tennessee,missouri,0.595658,0,1/7/2020
151,iowa-nebraska,nebraska,iowa,0.773642,0,1/7/2020
152,fresnost-newmexico,newmexico,newmexico,0.738975,1,1/7/2020
153,indianast-northerniowa,northerniowa,northerniowa,0.804081,1,1/7/2020
154,easternmichigan-ohio,ohio,ohio,0.929211,1,1/7/2020
155,rider-quinnipiac,quinnipiac,quinnipiac,0.845435,1,1/7/2020
156,pennst-rutgers,rutgers,rutgers,0.515797,1,1/7/2020
157,florida-southcarolina,florida,florida,0.591724,1,1/7/2020
158,valparaiso-southernillinois,southernillinois,southernillinois,0.707037,1,1/7/2020
159,virginiatech-syracuse,virginiatech,syracuse,0.68869,0,1/7/2020
160,houston-temple,houston,houston,0.795592,1,1/7/2020
161,mississippi-texasam,texasam,texasam,0.653404,1,1/7/2020
162,baylor-texastech,baylor,texastech,0.568892,0,1/7/2020
163,mississippist-alabama,alabama,alabama,0.733749,1,1/8/2020
164,vanderbilt-auburn,auburn,auburn,0.709732,1,1/8/2020
165,unlv-boisest,boisest,boisest,0.82323,1,1/8/2020
166,ucsb-calpoly,ucsb,ucsb,0.630971,1,1/8/2020
167,lbsu-calstnorthridge,calstnorthridge,calstnorthridge,0.623204,1,1/8/2020
168,furman-chattanooga,furman,furman,0.636034,1,1/8/2020
169,tulsa-cincinnati,cincinnati,tulsa,0.554486,0,1/8/2020
170,tulane-connecticut,connecticut,tulane,0.528027,0,1/8/2020
171,southdakotast-denver,southdakotast,southdakotast,0.925124,1,1/8/2020
172,bradley-evansville,bradley,evansville,0.720038,0,1/8/2020
173,marist-fairfiield,marist,fairfiield,0.803209,0,1/8/2020
174,stbonaventure-georgemason,stbonaventure,georgemason,0.62324,0,1/8/2020
175,stjohns-georgetown,georgetown,georgetown,0.804002,1,1/8/2020
176,duke-georgiatech,duke,duke,0.934953,1,1/8/2020
177,northwestern-indiana,indiana,indiana,0.712857,1,1/8/2020
178,kansas-iowast,kansas,iowast,0.596196,0,1/8/2020
179,arkansas-lsu,lsu,lsu,0.711994,1,1/8/2020
180,pittsburgh-unc,pittsburgh,unc,0.634162,0,1/8/2020
181,notredame-ncst,ncst,ncst,0.732317,1,1/8/2020
182,nebraskaomaha-northdakota,nebraskaomaha,northdakota,0.67552,0,1/8/2020
183,davidson-rhodeisland,rhodeisland,rhodeisland,0.554169,1,1/8/2020
184,duquesne-stjoes,duquesne,duquesne,0.816298,1,1/8/2020
185,georgewashington-stlouis,stlouis,stlouis,0.657169,1,1/8/2020
186,wofford-samford,wofford,wofford,0.563042,1,1/8/2020
187,nevada-sanjosest,sanjosest,nevada,0.790782,0,1/8/2020
188,ucf-someth,someth,someth,0.941132,1,1/8/2020
189,oklahoma-texas,oklahoma,oklahoma,0.523522,1,1/8/2020
190,lasalle-massachusetts,massachusetts,massachusetts,0.71955,1,1/8/2020
191,etsu-ncgreensboro,etsu,ncgreensboro,0.585248,0,1/8/2020
192,westerncarolina-vmi,westerncarolina,westerncarolina,0.582847,1,1/8/2020
193,floridast-wakeforest,floridast,wakeforest,0.602994,0,1/8/2020
194,ipfw-westernillinois,ipfw,ipfw,0.597203,1,1/8/2020
195,illinois-wisconsin,illinois,wisconsin,0.636004,0,1/8/2020
196,setonhall-xavier,setonhall,xavier,0.618049,0,1/8/2020
197,hawaii-calstfullerton,hawaii,hawaii,0.508668,1,1/9/2020
198,washingtonst-cal,cal,cal,0.506542,1,1/9/2020
199,detroit-clevelandst,clevelandst,clevelandst,0.557982,1,1/9/2020
200,easternillinois-easternkentucky,easternkentucky,easternillinois,0.796022,0,1/9/2020
201,montana-easternwashington,montana,easternwashington,0.971468,0,1/9/2020
202,charleston-elon,charleston,charleston,0.555134,1,1/9/2020
203,louisianamonroe-georgiasouthern,georgiasouthern,georgiasouthern,0.704888,1,1/9/2020
204,louisianalafayette-georgiast,georgiast,georgiast,0.646402,1,1/9/2020
205,montanast-idaho,montanast,idaho,0.62772,0,1/9/2020
206,southernutah-idahost,southernutah,idahost,0.685675,0,1/9/2020
207,murrayst-jacksonvillest,murrayst,murrayst,0.614621,1,1/9/2020
208,delaware-jamesmadison,delaware,delaware,0.659813,1,1/9/2020
209,purdue-michigan,michigan,michigan,0.968796,1,1/9/2020
210,minnesota-michiganst,michiganst,michiganst,0.911643,1,1/9/2020
211,marshall-mtsu,marshall,marshall,0.59842,1,1/9/2020
212,siuedwardsville-moreheadst,moreheadst,moreheadst,0.828811,1,1/9/2020
213,chicagost-nmsu,nmsu,nmsu,0.998482,1,1/9/2020
214,floridainternational-northtexas,northtexas,northtexas,0.595568,1,1/9/2020
215,hofstra-northeastern,hofstra,northeastern,0.65747,0,1/9/2020
216,northdakotast-oralroberts,oralroberts,oralroberts,0.839826,1,1/9/2020
217,arizona-oregon,oregon,oregon,0.508286,1,1/9/2020
218,arizonast-oregonst,arizonast,oregonst,0.905706,0,1/9/2020
219,floridaatlantic-rice,floridaatlantic,rice,0.609756,0,1/9/2020
220,northernarizona-sacramentost,sacramentost,sacramentost,0.588357,1,1/9/2020
221,byu-stmarys,stmarys,stmarys,0.770188,1,1/9/2020
222,gonzaga-sandiego,gonzaga,gonzaga,0.965998,1,1/9/2020
223,santaclara-sanfrancisco,sanfrancisco,sanfrancisco,0.581889,1,1/9/2020
224,stpeters-siena,siena,siena,0.893691,1,1/9/2020
