"","Game","total.result","total.pred","total.conf","TResult","Date","Round"
"223","santaclara-sanfrancisco","Under","Over",0.598221,0,0001-09-20,0.6
"224","stpeters-siena","Under","Under",0.691182,1,0001-09-20,0.69
"225","arkansasst-southalabama","Under","Under",0.630401,1,0001-09-20,0.63
"226","belmont-sems","Over","Under",0.805039,0,0001-09-20,0.81
"227","washington-stanford","Under","Over",0.653151,0,0001-09-20,0.65
"228","tennesseest-tennesseemartin","Over","Under",0.715752,0,0001-09-20,0.72
"229","austinpeay-tennesseetech","Under","Under",0.905154,1,0001-09-20,0.91
"230","appalachianst-texasarlington","Under","Under",0.772119,1,0001-09-20,0.77
"231","coastalcarolina-texasst","Over","Under",0.674383,0,0001-09-20,0.67
"232","drexel-towson","Over","Under",0.800791,0,0001-09-20,0.8
"233","arkansaslittlerock-troy","Over","Under",0.842432,0,0001-09-20,0.84
"234","westernkentucky-uab","Under","Under",0.799551,1,0001-09-20,0.8
"235","ucriverside-ucdavis","Under","Under",0.782159,1,0001-09-20,0.78
"236","somiss-utep","Over","Under",0.882058,0,0001-09-20,0.88
"237","louisianatech-utsa","Over","Over",0.584642,1,0001-09-20,0.58
"238","northerncolorado-weberst","Under","Under",0.601455,1,0001-09-20,0.6
"239","memphis-wichitast","Under","Over",0.731572,0,0001-09-20,0.73
"240","oakland-youngstownst","Under","Under",0.829097,1,0001-09-20,0.83
"241","ballst-akron","Under","Over",0.718702,0,0001-10-20,0.72
"242","manhattan-fairfiield","Over","Under",0.850835,0,0001-10-20,0.85
"243","maryland-iowa","Under","Over",0.655186,0,0001-10-20,0.66
"244","wrightst-iupui","Under","Under",0.713726,1,0001-10-20,0.71
"245","buffalo-miamioh","Over","Under",0.655549,0,0001-10-20,0.66
"246","canisius-monmouth","Over","Under",0.813298,0,0001-10-20,0.81
"247","pennsylvania-princeton","Over","Over",0.574694,1,0001-10-20,0.57
"248","butler-providence","Over","Under",0.562778,0,0001-10-20,0.56
"249","niagara-quinnipiac","Under","Under",0.534932,1,0001-10-20,0.53
"250","iona-rider","Under","Under",0.728065,1,0001-10-20,0.73
"251","northernkentucky-illinoischicago","Under","Under",0.854912,1,0001-10-20,0.85
"252","southalabama-arkansaslittlerock","Under","Under",0.69386,1,0001-11-20,0.69
"253","troy-arkansasst","Over","Under",0.747608,0,0001-11-20,0.75
"254","georgia-auburn","Under","Over",0.790627,0,0001-11-20,0.79
"255","georgiatech-bostoncollege","Under","Under",0.868478,1,0001-11-20,0.87
"256","southernillinois-bradley","Under","Under",0.617982,1,0001-11-20,0.62
"257","portland-byu","Over","Under",0.633045,0,0001-11-20,0.63
"258","calstnorthridge-calpoly","Under","Under",0.832383,1,0001-11-20,0.83
"259","washington-cal","Under","Under",0.757944,1,0001-11-20,0.76
"260","cincinnati-ucf","Under","Under",0.528973,1,0001-11-20,0.53
"261","olddominion-charlotte","Under","Under",0.607086,1,0001-11-20,0.61
"262","samford-chattanooga","Over","Under",0.78622,0,0001-11-20,0.79
"263","oakland-clevelandst","Under","Under",0.8796,1,0001-11-20,0.88
"264","stjoes-davidson","Over","Under",0.875968,0,0001-11-20,0.88
"265","massachusetts-dayton","Over","Under",0.525407,0,0001-11-20,0.53
"266","wakeforest-duke","Over","Over",0.679419,1,0001-11-20,0.68
"267","someth-eastcarolina","Under","Under",0.556796,1,0001-11-20,0.56
"268","vmi-etsu","Under","Under",0.581972,1,0001-11-20,0.58
"269","siuedwardsville-easternkentucky","Over","Under",0.936071,0,0001-11-20,0.94
"270","ncgreensboro-furman","Over","Over",0.527894,1,0001-11-20,0.53
"271","duquesne-georgewashington","Under","Under",0.561342,1,0001-11-20,0.56
"272","louisianalafayette-georgiasouthern","Under","Under",0.680977,1,0001-11-20,0.68
"273","louisianamonroe-georgiast","Over","Under",0.709272,0,0001-11-20,0.71
"274","rutgers-illinois","Under","Over",0.701885,0,0001-11-20,0.7
"275","ohiost-indiana","Under","Over",0.628148,0,0001-11-20,0.63
"276","illinoisst-indianast","Under","Under",0.722132,1,0001-11-20,0.72
"277","oklahoma-iowast","Under","Over",0.50904,0,0001-11-20,0.51
"278","southdakotast-ipfw","Under","Over",0.709886,0,0001-11-20,0.71
"279","austinpeay-jacksonvillest","Under","Under",0.750051,1,0001-11-20,0.75
"280","drexel-jamesmadison","Under","Under",0.834197,1,0001-11-20,0.83
"281","baylor-kansas","Under","Over",0.756593,0,0001-11-20,0.76
"282","centralmichigan-kentst","Under","Over",0.757517,0,0001-11-20,0.76
"283","alabama-kentucky","Under","Over",0.711914,0,0001-11-20,0.71
