"","player.name","player.rating","player.pos","player.ht","player.wt","player.nat.rank","player.pos.rank","player.state.rank","player.year","player.team"
"98","anyang garang","0.8628","pf","6-8",195,426,85,5,2019,"oklahoma"""
"99","alondes williams","0.8678","sg","6-5",220,NA,NA,NA,2019,"oklahoma"""
"100","corbin merritt","0.8578","c""","6-9",250,NA,NA,NA,2019,"oklahoma"""
"101","rick issanza","0.8428","c""","7-1",230,496,78,19,2019,"oklahoma"""
"102","marcus watson","0.9658","sg","6-6",205,88,14,3,2019,"oklahoma-state"""
"103","avery anderson iii","0.9353","cg","6-2",170,123,19,11,2019,"oklahoma-state"""
"104","chris harris jr.","0.9336","sg","6-3",195,128,23,12,2019,"oklahoma-state"""
"105","kalib boone","0.9288","c""","6-8",190,139,25,1,2019,"oklahoma-state"""
"106","keylan boone","0.8678","pf","6-6",175,375,74,3,2019,"oklahoma-state"""
"107","jonathan laurent","0.861","sg","6-6",216,NA,NA,NA,2019,"oklahoma-state"""
"108","p.j. fuller","0.9712","sg","6-4",170,76,12,1,2019,"tcu"""
"109","francisco farabello","0.9275","pg","6-1",165,142,13,1,2019,"tcu"""
"110","diante smith","0.925","sf","6-6",195,154,37,16,2019,"tcu"""
"111","taryn todd","0.8832","sg","6-2",170,236,34,4,2019,"tcu"""
"112","mickey pearson","0.8678","sf","6-7",180,404,88,17,2019,"tcu"""
"113","kevin easley","0.871","im","6-6",210,NA,NA,NA,2019,"tcu"""
"114","jaedon ledee","0.9584","im","6-7",230,NA,NA,NA,2019,"tcu"""
"115","edric dennis",NA,"im","6-0",190,NA,NA,NA,2019,"tcu"""
"116","keonte kennedy","0.8835","pg","6-4",175,NA,NA,NA,2019,"tcu"""
"117","will baker","0.988","c""","7-0",235,35,9,5,2019,"texas"""
"118","kai jones","0.9804","c""","6-10",205,51,13,3,2019,"texas"""
"119","donovan williams","0.9725","sg","6-5",180,73,11,9,2019,"texas"""
"120","jahmi&#39;us ramsey","0.9886","cg","6-4",195,32,5,4,2019,"texas-tech"""
"121","terrence shannon","0.9652","sf","6-6",185,90,21,13,2019,"texas-tech"""
"122","tyreek smith","0.9272","pf","6-8",205,144,22,14,2019,"texas-tech"""
"123","kevin mccullar","0.8964","sf","6-6",180,194,43,19,2019,"texas-tech"""
"124","clarence nadolny","0.8678","cg","6-3",190,406,43,11,2019,"texas-tech"""
"125","russel tchewa","0.8628","c""","7-0",215,427,71,11,2019,"texas-tech"""
"126","andrei savrasov","0.8","pf","6-9",215,524,105,1,2019,"texas-tech"""
"127","joel ntambwe",NA,"im","6-9",215,NA,NA,NA,2019,"texas-tech"""
"128","chris clarke","0.9765","im","6-6",205,NA,NA,NA,2019,"texas-tech"""
"129","tj holyfield",NA,"cg","6-8",227,NA,NA,NA,2019,"texas-tech"""
"130","oscar tshiebwe","0.9888","c""","6-9",250,31,8,1,2019,"west-virginia"""
"131","jalen bridges","0.9649","sf","6-7",180,91,22,1,2019,"west-virginia"""
"132","miles mcbride","0.8752","pg","6-1",185,301,36,9,2019,"west-virginia"""
"133","tajzmel sherman","0.87","sg","6-4",185,NA,NA,NA,2019,"west-virginia"""
"134","sean mcneil","0.8628","sg","6-4",190,NA,NA,NA,2019,"west-virginia"""
"135","ethan richardson",NA,"pf","6-10",245,NA,NA,NA,2019,"west-virginia"""
"136","kofi cockburn","0.9818","c""","6-10",290,46,12,2,2019,"illinois"""
"137","benjamin bosmans-verdonk",NA,"pf","6-8",225,NA,NA,NA,2019,"illinois"""
"138","jermaine hamlin",NA,"c""","6-10",240,NA,NA,NA,2019,"illinois"""
"139","bernard kouma","0.87","pf","6-10",240,350,66,8,2019,"illinois"""
"140","trayce jackson-davis","0.989","c""","6-9",230,30,7,3,2019,"indiana"""
"141","armaan franklin","0.9257","sg","6-4",185,151,27,6,2019,"indiana"""
"142","pat mccaffery","0.967","sf","6-8",175,86,19,2,2019,"iowa"""
"143","joe toussaint","0.8764","pg","6-0",165,293,35,6,2019,"iowa"""
"144","makhi mitchell","0.9731","c""","6-9",225,69,17,2,2019,"maryland"""
"145","donta scott","0.9271","sf","6-6",200,145,35,6,2019,"maryland"""
"146","makhel mitchell","0.9153","c""","6-9",230,171,29,3,2019,"maryland"""
"147","chol marial","0.9055","c""","7-2",230,180,32,6,2019,"maryland"""
"148","hakim hart","0.8578","sg","6-5",185,467,89,19,2019,"maryland"""
"149","rocket watts","0.9865","cg","6-2",175,39,7,2,2019,"michigan-state"""
"150","malik hall","0.9775","pf","6-7",190,61,10,2,2019,"michigan-state"""
"151","julius marble","0.8862","pf","6-8",225,223,44,21,2019,"michigan-state"""
"152","joey hauser","0.9817","cg","6-9",230,NA,NA,NA,2019,"michigan-state"""
"153","cole bajema","0.9443","sf","6-7",175,112,27,4,2019,"michigan"""
"154","franz wagner","0.9416","sf","6-7",190,114,28,2,2019,"michigan"""
"155","isaiah ihnen","0.9578","pf","6-9",190,98,17,1,2019,"minnesota"""
"156","tre williams","0.9314","sg","6-4",180,133,25,4,2019,"minnesota"""
"157","sam freeman","0.8678","c""","6-10",220,405,69,29,2019,"minnesota"""
"158","bryan greenlee","0.8556","pg","6-3",175,476,68,39,2019,"minnesota"""
"159","alihan demir",NA,"pg","6-9",232,NA,NA,NA,2019,"minnesota"""
"160","yvan ouedraogo","0.9161","pf","6-8",240,168,30,1,2019,"nebraska"""
"161","samari curtis","0.8971","sg","6-4",180,192,31,5,2019,"nebraska"""
"162","akol arop","0.8723","sf","6-5",190,326,75,1,2019,"nebraska"""
