"","Game.","Team","FGM","FGA","X3PM","X3PA","FTM","FTA","OREB","TR","AST","TO","STL","BLK","PF","PTS"
"2451",164,"ncat",25,53,4,14,9,21,10,43,14,23,11,4,19,63
"2082",165,"marist",22,58,4,16,10,13,8,38,9,10,6,5,8,58
"4410",165,"vmi",22,57,9,31,3,8,7,38,15,11,6,2,15,56
"902",166,"delawarest",20,62,6,29,8,13,6,29,8,11,6,0,14,54
"3193",166,"rider",30,58,8,20,13,21,10,50,14,14,4,2,16,81
"1613",167,"incarnateword",22,56,5,15,12,16,7,27,5,8,4,0,20,61
"2732",167,"northerncolorado",28,55,14,32,13,15,9,39,20,10,4,3,15,83
"2125",168,"maryland",25,56,6,19,17,24,11,43,14,17,7,5,21,73
"3156",168,"rhodeisland",20,67,7,23,8,16,20,42,11,18,6,1,21,55
"187",169,"arkansaspinebluff",23,56,2,10,12,18,5,21,9,17,6,1,26,60
"1374",169,"gonzaga",35,56,9,23,31,39,12,42,22,12,9,4,16,110
"3421",170,"setonhall",28,64,7,18,11,16,13,39,15,9,5,3,16,74
"3747",170,"stonybrook",18,51,6,25,15,20,9,35,8,15,6,9,16,57
"290",171,"bethunecookman",17,57,3,17,7,10,7,31,4,21,5,5,19,44
"3936",171,"texastech",28,59,7,19,16,22,10,44,22,15,9,3,15,79
"308",172,"boisest",27,63,6,23,15,23,12,27,14,13,5,1,13,75
