Game.,Team,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,TR,AST,TO,STL,BLK,PF,PTS
325,southcarolinast,12,52,1,16,21,25,12,30,5,22,10,1,18,46
325,floridast,31,56,7,19,12,16,9,36,20,20,11,7,23,81
326,apallachianst,26,59,3,11,7,17,13,37,14,21,10,9,21,62
326,georgewashington,26,61,4,14,20,27,16,42,19,18,11,4,15,76
327,someth,24,59,8,19,9,9,10,35,11,13,9,1,15,65
327,sandiego,25,57,8,23,10,15,13,36,17,13,7,1,11,68
328,airforce,24,43,10,21,28,37,8,52,16,7,8,1,19,86
328,navy,18,39,5,13,5,12,5,41,7,19,3,1,28,46
329,mercer,24,61,6,23,10,13,17,41,10,24,4,2,17,64
329,iowast,35,62,8,16,9,12,7,28,21,14,13,6,19,87
330,ucf,27,55,7,22,13,21,13,39,11,16,8,7,21,74
330,citadel,21,63,6,18,12,15,13,37,5,11,5,3,23,60
331,williammary,28,67,5,13,19,27,17,43,13,13,8,1,15,80
331,stfrancisny,25,63,5,25,5,11,12,39,16,22,5,11,26,60
332,quinnipiac,25,57,8,25,12,24,7,28,17,12,4,0,26,70
332,rider,30,53,11,24,18,29,9,38,23,10,2,2,21,89
333,georgiasouthern,21,45,5,15,39,50,11,40,12,21,11,2,28,86
333,savannahst,23,55,5,8,15,33,13,30,6,22,8,4,34,66
334,liberty,18,52,3,15,8,11,7,32,12,22,5,1,22,47
334,duke,26,59,8,23,16,25,9,35,16,13,9,7,18,76
335,pennsylvania,19,48,8,20,6,12,6,28,9,22,8,2,21,52
335,michiganst,30,63,5,15,12,17,15,41,15,13,12,3,17,77
336,missouri,29,57,9,17,23,25,13,44,18,20,3,5,21,90
336,oakland,29,69,6,14,21,31,11,31,14,7,12,4,19,85
337,unc,31,74,2,11,18,28,23,49,19,16,7,6,21,82
337,clevelandst,26,60,9,27,15,22,10,38,16,20,9,6,26,76
338,illinois,27,51,9,22,12,16,8,37,22,16,4,2,21,75
338,temple,20,51,4,18,16,24,8,24,5,9,9,3,16,60
339,stjoes,29,55,6,18,11,19,4,25,12,15,10,8,19,75
339,olddominion,27,70,4,17,14,15,21,49,18,20,8,2,18,72
340,rutgers,18,46,3,10,4,12,11,35,6,22,8,4,22,43
340,wisconsin,17,45,3,20,18,22,5,28,11,12,10,1,13,55
341,georgia,24,63,9,27,19,23,12,41,7,12,2,1,25,76
341,gonzaga,30,67,3,20,19,25,13,40,14,9,4,4,19,82
342,iowa,21,45,5,15,13,24,9,45,19,17,4,3,15,70
342,louisville,12,30,11,27,12,16,4,34,20,19,9,6,27,69
343,wakeforest,33,66,8,18,12,15,14,36,15,12,11,2,20,86
343,yale,21,43,2,12,17,24,4,24,13,20,6,3,16,61
344,coppinst,11,29,8,16,10,12,10,37,10,29,0,1,12,56
344,cincinnati,17,36,11,27,9,12,15,34,18,12,17,5,13,76
345,mountstmarys,26,68,6,17,6,8,12,30,16,10,12,0,20,64
345,notredame,25,46,9,23,19,20,8,35,18,20,5,10,13,78
346,pepperdine,29,53,10,26,14,21,11,33,9,12,7,3,23,82
346,oklahomast,31,66,5,18,17,28,19,45,14,12,6,3,23,84
347,xavier,28,68,5,12,16,20,12,33,13,11,10,3,25,77
347,indiana,28,58,5,16,19,31,11,45,14,15,4,3,16,80
348,hofstra,26,62,7,22,13,14,8,44,14,25,8,1,37,72
348,maryland,26,58,4,13,31,55,13,36,15,12,14,10,13,87
349,cal,23,68,4,19,7,12,22,78,13,10,11,0,14,57
349,unlv,24,48,6,19,5,9,9,63,16,15,4,5,15,59
350,ucriverside,25,55,8,17,10,16,6,23,20,16,3,3,25,68
350,arizonast,25,47,3,9,24,32,9,35,18,17,7,7,15,77
351,vermont,24,58,8,18,11,11,5,32,16,8,2,0,16,67
351,ucla,26,58,6,13,10,17,11,37,12,8,2,3,13,68
352,auburn,35,54,7,13,28,44,9,41,28,17,19,6,21,105
352,grambling,20,55,5,15,11,23,6,28,16,23,12,0,26,56
353,alabama,26,57,8,17,11,14,14,33,18,18,5,2,21,71
353,providence,26,59,10,23,14,20,13,30,13,13,8,9,17,76
354,mississippist,29,60,10,20,13,19,11,34,14,11,6,5,14,81
354,westernkentucky,28,61,7,21,12,14,13,33,17,15,5,4,18,75
355,louisianamonroe,24,65,5,11,12,18,16,32,10,17,11,2,21,65
355,LSU,35,54,7,11,19,27,8,35,21,16,13,7,20,96
356,fordham,23,57,7,23,24,30,11,34,12,17,4,6,23,77
356,manhattan,27,58,8,22,28,30,8,35,13,8,11,4,26,90
357,jacksonville,23,55,9,25,10,17,11,35,17,24,4,4,13,65
357,arkansas,35,68,9,21,6,10,11,36,22,15,7,4,19,85
358,setonhall,25,57,7,20,8,11,8,38,10,10,5,1,17,65
358,liberty,17,50,4,20,9,13,9,28,11,16,2,2,15,47
359,northernarizona,17,51,8,26,9,14,3,31,14,20,6,1,23,51
359,wichitast,21,57,4,15,22,30,12,47,15,19,7,1,17,68
360,SELA,16,56,2,14,14,19,16,40,5,13,2,5,18,48
360,mississippi,19,52,5,18,9,12,11,36,11,17,6,3,20,52
361,illinoischicago,28,55,3,10,14,16,14,39,15,17,12,3,20,73
361,UTSA,18,43,4,16,7,14,4,18,6,20,10,2,19,47
362,bucknell,24,46,7,21,16,25,6,23,18,22,10,1,20,71
362,niagara,29,59,11,27,21,26,17,37,15,19,12,1,23,90
363,texasst,19,54,7,25,10,12,16,31,15,17,9,3,21,55
363,pacific,24,46,5,12,9,15,8,21,18,16,4,1,16,62
364,IPFW,21,52,5,19,8,10,10,40,11,23,8,3,21,55
364,oregonst,19,51,1,9,18,23,3,27,8,13,10,1,12,57
365,easternwashington,32,69,8,25,19,25,12,32,16,13,3,1,30,91
365,washington,33,60,5,16,33,46,9,36,13,10,6,4,23,104
366,northwesternst,26,59,5,13,4,7,9,33,15,16,8,3,22,61
366,northwestern,23,46,7,18,16,25,5,29,19,18,9,1,12,69
367,pennst,23,48,6,13,15,25,5,31,13,13,6,2,21,67
367,buffalo,23,53,4,15,14,22,10,36,8,12,5,6,21,64
368,tennesseemartin,20,57,10,29,10,16,5,31,15,22,7,3,20,60
368,vanderbilt,33,67,8,25,20,24,17,66,20,16,9,2,13,94
369,campbell,21,65,4,21,2,5,11,39,9,22,8,0,20,48
369,southcarolina,31,67,3,16,12,16,13,44,18,19,13,12,15,77
370,boston,18,61,4,23,4,6,15,37,8,10,2,1,15,44
370,bostoncollege,28,47,5,12,6,14,4,31,22,8,4,4,10,67
371,delawarest,21,43,4,7,8,13,11,35,12,27,6,6,26,54
371,georgetown,21,50,1,9,20,26,9,22,8,12,17,5,15,63
372,stjohns,30,54,1,9,11,15,11,34,19,13,9,8,22,72
372,stonybrook,21,53,4,12,15,21,13,28,15,14,6,0,17,61
373,northeastern,31,72,13,25,16,24,15,49,19,10,9,3,16,91
373,westvirginia,31,59,9,23,13,19,8,34,19,16,4,7,20,84
374,bowlinggreen,20,53,5,19,11,13,8,42,13,15,5,1,21,56
374,bradley,25,49,7,18,12,19,5,33,17,0,6,0,12,69
375,stbonaventure,25,64,4,18,9,11,9,26,12,11,12,0,21,63
375,creighton,29,54,4,13,21,25,12,41,22,14,6,8,12,83
376,coloradost,25,43,3,7,23,31,9,54,17,26,4,8,25,76
376,drake,26,66,3,19,14,28,16,42,8,10,17,3,25,69
377,illinoisst,31,53,7,17,15,19,8,27,10,8,8,3,26,84
377,utahst,30,45,6,9,23,30,5,32,19,0,3,0,16,89
378,indianast,12,39,10,21,12,13,9,29,14,15,9,0,18,66
378,depaul,23,44,5,12,17,21,14,39,10,13,8,4,14,78
379,kentst,24,58,8,22,8,11,8,42,14,14,7,2,19,64
379,missourist,22,55,7,17,12,20,9,48,16,19,4,6,17,63
380,southernillinois,30,60,5,14,16,23,10,42,15,11,11,1,25,81
380,UWMilwaukee,27,60,4,20,19,27,16,54,19,15,5,1,23,77
381,wofford,30,76,8,23,9,17,21,50,15,18,11,2,30,77
381,clemson,32,60,3,12,17,39,15,59,15,16,13,9,16,84
382,siena,25,58,6,15,22,24,12,46,17,18,6,0,25,78
382,duquesne,22,62,5,24,19,26,12,34,13,13,5,3,19,68
383,williammary,18,53,6,24,15,18,8,28,13,19,12,0,19,57
383,georgewashington,26,59,5,17,16,21,15,46,15,22,8,2,19,73
384,lasalle,24,62,8,19,7,11,9,23,10,9,10,1,21,63
384,lafayette,27,44,11,20,18,23,5,36,15,15,3,4,11,83
385,richmond,25,55,7,17,18,30,8,41,14,23,7,4,29,75
385,uab,28,62,5,29,18,32,13,43,22,14,12,4,25,83
386,fresnost,21,51,7,15,15,20,10,32,15,10,3,4,16,64
386,santaclara,23,52,9,26,14,18,8,27,14,8,4,2,20,69
387,sanjosest,24,58,5,16,9,20,11,40,11,17,9,4,18,62
387,calpoly,25,63,4,25,16,24,12,44,16,13,9,5,19,70
388,tulsa,20,38,8,17,10,18,7,38,19,12,8,5,21,74
